Country,Metro Area,State,Population,lat,lng
MX,San Martin Texmelucan de Labastida,Puebla,163922,19.283,-98.433
MX,El Pueblito,Querétaro,115264,20.540,-100.441
MX,Cancún,Quintana Roo,888797,21.161,-86.848
MX,Chetumal,Quintana Roo,169028,18.504,-88.305
MX,Playa del Carmen,Quintana Roo,304942,20.628,-87.076
MX,Heroica Nogales,Sonora,261137,31.319,-110.946
MX,Miramar,Tamaulipas,118614,22.338,-97.869
MX,Martínez de la Torre,Veracruz,110415,20.067,-97.050
MX,San Andrés Tuxtla,Veracruz,162428,18.448,-95.212
MX,Tlapacoyan,Veracruz,115000,19.962,-97.211
MX,Veracruz,Veracruz,428323,19.190,-96.153
MX,Kanasín,Yucatán,139753,20.934,-89.558
MX,Guadalupe,Zacatecas,211740,22.753,-102.508
